Wavelength (nm),500ppb_500ms
318.07,101.05
318.20,108.06
318.34,120.06
318.47,114.07
318.60,120.07
318.74,114.08
318.87,118.08
319.01,123.09
319.14,122.09
319.27,119.10
319.41,110.10
319.54,119.11
319.68,125.11
319.81,126.11
319.94,145.12
320.08,143.12
320.21,134.13
320.35,139.13
320.48,142.14
320.61,132.14
320.75,136.15
320.88,146.15
321.02,146.15
321.15,142.16
321.28,145.16
321.42,145.17
321.55,149.17
321.69,153.18
321.82,160.18
321.96,168.19
322.09,168.19
322.22,167.19
322.36,167.20
322.49,163.20
322.63,170.21
322.76,168.21
322.89,178.22
323.03,169.22
323.16,177.23
323.30,186.23
323.43,188.23
323.57,190.24
323.70,203.24
323.83,193.25
323.97,189.25
324.10,201.26
324.24,203.26
324.37,186.26
324.51,193.27
324.64,205.27
324.77,206.28
324.91,201.28
325.04,214.28
325.18,218.29
325.31,215.29
325.45,214.30
325.58,221.30
325.71,219.31
325.85,221.31
325.98,229.31
326.12,226.32
326.25,223.32
326.39,227.33
326.52,220.33
326.65,236.33
326.79,237.34
326.92,228.34
327.06,229.35
327.19,243.35
327.33,237.35
327.46,247.36
327.60,250.36
327.73,254.37
327.86,253.37
328.00,251.37
328.13,245.38
328.27,252.38
328.40,260.39
328.54,263.39
328.67,255.39
328.81,250.40
328.94,267.40
329.08,276.41
329.21,270.41
329.34,280.41
329.48,270.42
329.61,270.42
329.75,269.43
329.88,274.43
330.02,289.43
330.15,285.44
330.29,284.44
330.42,286.44
330.56,289.45
330.69,288.45
330.82,287.46
330.96,279.46
331.09,285.46
331.23,298.47
331.36,292.47
331.50,291.48
331.63,303.48
331.77,314.48
331.90,308.49
332.04,304.49
332.17,294.49
332.31,296.50
332.44,303.50
332.58,307.51
332.71,301.51
332.84,312.51
332.98,320.52
333.11,322.52
333.25,319.52
333.38,318.53
333.52,318.53
333.65,322.53
333.79,318.54
333.92,325.54
334.06,334.55
334.19,330.55
334.33,328.55
334.46,335.56
334.60,336.56
334.73,339.56
334.87,335.57
335.00,330.57
335.14,349.57
335.27,345.58
335.41,341.58
335.54,352.58
335.68,350.59
335.81,354.59
335.95,360.60
336.08,359.60
336.22,347.60
336.35,348.61
336.49,361.61
336.62,356.61
336.76,358.62
336.89,373.62
337.03,379.62
337.16,376.63
337.29,374.63
337.43,373.63
337.56,378.64
337.70,377.64
337.83,375.64
337.97,372.65
338.10,373.65
338.24,391.65
338.37,386.66
338.51,387.66
338.64,397.66
338.78,392.67
338.92,382.67
339.05,380.67
339.19,386.68
339.32,384.68
339.46,386.68
339.59,390.69
339.73,396.69
339.86,397.69
340.00,391.70
340.13,404.70
340.27,393.70
340.40,392.71
340.54,400.71
340.67,403.71
340.81,402.72
340.94,408.72
341.08,414.72
341.21,404.73
341.35,407.73
341.48,430.73
341.62,423.74
341.75,415.74
341.89,422.74
342.02,427.75
342.16,414.75
342.29,415.75
342.43,414.76
342.56,417.76
342.70,426.76
342.83,433.77
342.97,426.77
343.11,420.77
343.24,412.78
343.38,418.78
343.51,424.78
343.65,427.78
343.78,426.79
343.92,432.79
344.05,438.79
344.19,435.80
344.32,431.80
344.46,427.80
344.59,425.81
344.73,417.81
344.86,421.81
345.00,437.82
345.14,442.82
345.27,442.82
345.41,422.82
345.54,429.83
345.68,430.83
345.81,423.83
345.95,434.84
346.08,433.84
346.22,432.84
346.35,450.85
346.49,449.85
346.62,436.85
346.76,430.85
346.90,438.86
347.03,443.86
347.17,445.86
347.30,443.87
347.44,449.87
